HKEL,  0.4044, 35.2387, 2116
HKKG,  0.2713, 34.7873, 1530
HKNO, -1.1333, 35.8333, 890
HRYR, -1.9686, 30.1395, 1493
HTBU, -1.3320, 31.8212, 1137
HTMW, -2.4420, 32.9247, 1139
HTSY, -3.5000, 33.0000, 1100
HUEN, 0.0382, 32.4446, 1155
HKJK, -1.3192, 36.9278, 1624
HTDA, -6.8814, 39.2015, 55
HTKJ, -3.4294, 37.0745, 896
HBBA, -3.3240, 29.3185, 783
HKMO, -4.0150, 39.6064, 55
HTDA, -6.8814, 39.2015, 55
HTZA, -6.2220, 39.2249, 15
HKNC,  -1.3036, 36.7597, 1798
